"scaled_tacr","av_propStock","impyear"
9,0.13558782688418,"2005"
10,0.0841568201904192,"2005"
11,0.0678528373388593,"2005"
12,0.042100040793207,"2005"
13,0.0547964172215149,"2005"
14,0.0597863552722974,"2005"
-52,1,"2006"
-51,1,"2006"
-50,1,"2006"
-49,1,"2006"
-48,1,"2006"
-47,1,"2006"
-46,1,"2006"
-45,1,"2006"
-44,1,"2006"
-43,0.44219440353461,"2006"
-42,0.448091820460242,"2006"
-41,0.495752895752896,"2006"
-40,0.606390859852164,"2006"
-39,0.578167087542088,"2006"
-38,0.638213347570008,"2006"
-37,0.495248960903698,"2006"
-36,0.509833667273247,"2006"
-35,0.487067802353598,"2006"
-34,0.421840669715906,"2006"
-33,0.507274571351602,"2006"
-32,0.427763511577659,"2006"
-31,0.336386138356968,"2006"
-30,0.391024673729722,"2006"
-29,0.385932493665487,"2006"
-28,0.396886887597749,"2006"
-27,0.293133456479533,"2006"
-26,0.419134681214949,"2006"
-25,0.296291225736715,"2006"
-24,0.296005388181993,"2006"
-23,0.204596722797387,"2006"
-22,0.241224341656247,"2006"
-21,0.224839225784493,"2006"
-20,0.227003591420984,"2006"
-19,0.31012722347211,"2006"
-18,0.304104024224094,"2006"
-17,0.272331410520829,"2006"
-16,0.263505476967069,"2006"
-15,0.158197239048801,"2006"
-14,0.151402708941884,"2006"
-13,0.151996872610443,"2006"
-12,0.173131222161186,"2006"
-11,0.161705246245545,"2006"
-10,0.169736607969645,"2006"
-9,0.187038819755957,"2006"
-8,0.17868837748481,"2006"
-7,0.183122822819716,"2006"
-6,0.181699521692458,"2006"
-5,0.179439030185093,"2006"
-4,0.162366113702033,"2006"
-3,0.167697832292551,"2006"
-2,0.15406400224306,"2006"
-1,0.134120882746562,"2006"
0,0.14708455507932,"2006"
1,0.13038879872722,"2006"
2,0.144955272738632,"2006"
3,0.125562253460612,"2006"
4,0.11979274385735,"2006"
5,0.124185157764237,"2006"
6,0.142269617057933,"2006"
7,0.149497246556925,"2006"
8,0.13558782688418,"2006"
9,0.0841568201904192,"2006"
10,0.0678528373388593,"2006"
11,0.042100040793207,"2006"
12,0.0547964172215149,"2006"
13,0.0597863552722974,"2006"
-59,1,"2013"
-58,1,"2013"
-57,1,"2013"
-56,1,"2013"
-55,1,"2013"
-54,1,"2013"
-53,1,"2013"
-52,1,"2013"
-51,1,"2013"
